,Country,primaryValue,netWgt,flowCode
0,Myanmar,12176760.0,33231000.0,X
1,Myanmar,12176760.0,33231000.0,X
2,Myanmar,77695130.0,100111000.0,X
3,Myanmar,65518370.0,66880000.0,X
4,Myanmar,77695130.0,100111000.0,X
5,Myanmar,65518370.0,66880000.0,X
6,Botswana,936.767,18174.6,X
7,Botswana,936.767,18174.6,X
8,Brunei Darussalam,2853973896.33,5733528981.318,X
9,Brunei Darussalam,2853973802.94,5733528897.038,X
10,Brunei Darussalam,93.39,84.28,X
11,Bosnia Herzegovina,342809.16,792630.0,X
12,Bosnia Herzegovina,342809.16,792630.0,X
13,Azerbaijan,5536752343.96,11470600000.0,X
14,Azerbaijan,9277380364.73,19366485666.0,X
15,Azerbaijan,5536752343.96,11470600000.0,X
16,Azerbaijan,9277380364.73,19366485666.0,X
17,Azerbaijan,14814132708.69,30837085666.0,X
18,Azerbaijan,14814132708.69,30837085666.0,X
19,Azerbaijan,206678277.63,433454000.0,X
20,Azerbaijan,252475.69,608466.0,X
21,Azerbaijan,45156559.34,90376700.0,X
22,Azerbaijan,435717038.99,906808000.0,X
23,Azerbaijan,905730406.87,1919970000.0,X
24,Azerbaijan,436046124.24,889402000.0,X
25,Azerbaijan,39958724.68,77153500.0,X
26,Azerbaijan,83392116.96,167587000.0,X
27,Azerbaijan,645970384.57,1336960000.0,X
28,Azerbaijan,128810161.23,266559000.0,X
29,Azerbaijan,353196505.62,746181000.0,X
30,Azerbaijan,714127513.5,1414190000.0,X
31,Azerbaijan,136652239.2,269356000.0,X
32,Azerbaijan,417087026.89,970054000.0,X
33,Azerbaijan,359330562.94,735684000.0,X
34,Azerbaijan,701714480.33,1489890000.0,X
35,Azerbaijan,279716242.85,585358000.0,X
36,Azerbaijan,57135172.08,139301000.0,X
37,Azerbaijan,5536752343.96,11470600000.0,X
38,Azerbaijan,1328417044.1,2777970000.0,X
39,Azerbaijan,185497504.48,409711000.0,X
40,Azerbaijan,73756528.22,161773000.0,X
41,Azerbaijan,279716242.85,585358000.0,X
42,Azerbaijan,645970384.57,1336960000.0,X
43,Azerbaijan,252475.69,608466.0,X
44,Azerbaijan,436046124.24,889402000.0,X
45,Azerbaijan,5536752343.96,11470600000.0,X
46,Azerbaijan,435717038.99,906808000.0,X
47,Azerbaijan,714127513.5,1414190000.0,X
48,Azerbaijan,359330562.94,735684000.0,X
